Airline,Departure_Airport,Arrival_Airport,Scheduled_Dep_Hour,Scheduled_Arr_Hour,Day_of_Week,Month,Holiday_Season,Weather_Condition,Temperature,Wind_Speed,Visibility,Rain_mm,Departure_Traffic,Arrival_Traffic,Delay
Vistara,CCU,MAA,9,3,5,7,0,Fog,17,25,3,16,High,Low,89.31
Air India,BLR,DEL,16,17,1,2,1,Storm,34,9,4,7,Medium,Medium,53.9
GoAir,MAA,BLR,21,5,1,8,0,Fog,30,8,7,1,Low,Medium,21.64
GoAir,CCU,GOI,1,8,2,11,1,Storm,29,1,8,19,High,High,133.6
Air India,CCU,BLR,16,8,0,7,1,Thunderstorm,25,23,2,2,Medium,Low,64.51
GoAir,GOI,GOI,15,13,4,9,1,Clear,13,29,8,7,Low,High,54.14
SpiceJet,MAA,MAA,1,7,1,8,0,Rain,38,18,9,1,Low,Low,23.04
Vistara,BOM,HYD,21,18,1,3,0,Rain,25,16,7,18,High,High,55.84
Air India,GOI,BOM,19,2,1,1,0,Storm,29,10,1,16,Medium,High,72.19
Vistara,BOM,MAA,5,17,0,2,1,Storm,15,16,6,4,Low,Medium,63.11
GoAir,GOI,BOM,9,4,5,2,0,Fog,36,9,8,19,High,Low,69.53
GoAir,MAA,HYD,9,13,6,4,0,Rain,13,17,5,16,Low,Low,17.66
Air India,DEL,BLR,7,3,6,6,1,Fog,25,22,2,9,Medium,Medium,66.04
SpiceJet,MAA,BOM,0,6,3,4,0,Thunderstorm,32,27,5,8,Low,Medium,66.75
IndiGo,MAA,DEL,12,19,2,9,0,Rain,32,5,8,5,Medium,Medium,1.92
Air India,BOM,DEL,23,11,0,4,1,Thunderstorm,30,15,2,10,Low,Medium,103.56
IndiGo,BOM,GOI,8,1,5,6,1,Clear,22,27,1,1,Low,Low,43.54
IndiGo,MAA,MAA,21,10,1,6,0,Fog,14,26,4,11,High,Low,66.05
SpiceJet,MAA,HYD,9,13,5,10,1,Storm,24,17,4,11,Low,Medium,72.15
IndiGo,MAA,GOI,14,21,0,11,0,Rain,35,19,9,15,Medium,High,38.93
IndiGo,BOM,MAA,4,22,0,10,0,Fog,17,17,3,11,High,High,53.43
SpiceJet,MAA,MAA,21,15,0,1,0,Storm,16,0,4,17,Medium,High,57.39
IndiGo,MAA,GOI,15,19,3,8,0,Clear,23,27,3,12,Medium,High,33.55
IndiGo,HYD,CCU,12,5,4,12,0,Rain,16,2,2,14,High,Low,19.93
IndiGo,DEL,MAA,21,22,2,3,1,Thunderstorm,31,14,4,15,Medium,Low,80.86
Air India,BLR,CCU,19,3,3,6,1,Clear,16,19,8,3,Low,Low,45.07
Air India,DEL,DEL,17,14,3,3,0,Storm,32,9,1,11,High,High,74.83
Air India,HYD,DEL,10,23,4,11,1,Rain,35,20,8,16,Low,Medium,38.08
SpiceJet,BLR,MAA,8,0,3,2,1,Rain,39,4,8,0,Low,High,39.35
GoAir,GOI,DEL,15,6,0,5,0,Clear,27,14,3,17,Medium,Low,29.29
IndiGo,MAA,HYD,1,11,0,1,1,Rain,39,22,6,15,Medium,High,58.69
IndiGo,HYD,CCU,1,9,5,9,1,Storm,19,13,4,0,Low,Medium,79.52
SpiceJet,GOI,CCU,11,4,1,11,0,Clear,27,14,1,9,High,Medium,0.0
IndiGo,MAA,MAA,7,11,3,7,0,Thunderstorm,23,9,1,18,Low,High,86.35
Air India,BOM,DEL,8,17,1,3,0,Clear,19,23,5,15,Low,Low,24.32
GoAir,CCU,BOM,11,9,2,4,0,Clear,16,8,8,13,Medium,Low,31.88
Vistara,HYD,GOI,8,5,6,6,0,Thunderstorm,39,11,1,1,Medium,Low,69.54
IndiGo,BOM,GOI,9,11,0,3,0,Storm,35,6,2,5,Low,High,61.09
Air India,HYD,CCU,1,6,5,12,0,Fog,16,4,7,4,Low,Low,58.4
Vistara,HYD,MAA,15,17,2,7,1,Fog,16,24,8,11,Medium,High,99.48
GoAir,BOM,MAA,19,1,5,6,0,Thunderstorm,14,23,3,3,Low,Low,41.81
Vistara,BLR,HYD,6,9,6,9,1,Storm,10,9,8,3,Medium,Medium,69.91
Air India,DEL,BLR,1,14,6,12,1,Rain,23,24,1,4,Low,Medium,39.57
Vistara,MAA,BLR,0,11,4,5,0,Thunderstorm,27,25,9,6,High,Low,47.55
SpiceJet,HYD,CCU,18,16,0,4,1,Fog,22,7,2,5,High,High,119.11
Vistara,MAA,GOI,3,3,2,3,1,Storm,34,21,2,12,Low,Low,71.21
IndiGo,CCU,HYD,23,6,4,10,1,Clear,17,19,4,3,Medium,High,53.25
IndiGo,BOM,HYD,21,8,6,1,0,Storm,17,24,3,12,Low,Medium,55.64
SpiceJet,MAA,HYD,1,18,2,3,1,Storm,19,15,4,3,Low,High,71.97
Air India,BOM,CCU,13,22,5,3,1,Fog,26,11,6,9,Medium,Low,71.31
IndiGo,MAA,BLR,1,6,4,7,0,Fog,15,8,7,19,Low,Medium,38.62
GoAir,DEL,GOI,14,22,4,7,1,Rain,24,9,5,0,Medium,High,50.76
IndiGo,DEL,HYD,11,1,0,12,1,Rain,24,15,2,7,Low,High,54.74
IndiGo,DEL,GOI,4,5,1,1,1,Thunderstorm,34,9,3,6,Medium,Medium,103.23
Air India,DEL,DEL,19,17,5,3,1,Clear,25,8,3,4,Low,Low,53.08
Vistara,DEL,MAA,6,5,5,8,1,Rain,17,29,5,2,High,Medium,53.28
IndiGo,DEL,MAA,23,12,4,9,0,Fog,28,25,5,14,Medium,Low,48.47
SpiceJet,BOM,GOI,20,18,4,7,1,Storm,29,2,4,16,High,Low,98.19
Vistara,HYD,BOM,9,1,0,7,0,Thunderstorm,24,26,8,12,Medium,High,55.04
GoAir,MAA,BOM,13,11,1,12,1,Rain,12,27,6,14,Medium,Low,48.59
Air India,DEL,CCU,13,14,5,11,0,Storm,15,18,6,18,Medium,Low,55.56
GoAir,BOM,CCU,4,13,6,8,0,Storm,39,10,1,19,Medium,Medium,62.9
Vistara,BOM,MAA,17,5,3,6,0,Rain,34,5,6,13,Low,Medium,24.5
Vistara,BOM,DEL,23,17,3,11,1,Clear,17,5,3,12,Low,Low,40.63
Vistara,HYD,BLR,13,4,1,3,1,Clear,25,14,6,11,Medium,High,70.97
GoAir,MAA,BLR,1,17,2,1,1,Thunderstorm,24,28,6,8,Low,Medium,87.14
Vistara,HYD,CCU,11,2,0,7,1,Clear,22,14,2,2,Medium,High,30.68
GoAir,BLR,DEL,21,2,1,1,1,Thunderstorm,35,12,1,10,Medium,Medium,109.83
Vistara,GOI,CCU,23,21,3,1,0,Fog,29,21,3,9,High,Medium,91.08
SpiceJet,BOM,BLR,5,21,4,9,0,Rain,24,4,5,0,Medium,Low,13.23
Vistara,BLR,GOI,3,9,3,10,0,Storm,27,13,4,16,Medium,Medium,78.87
GoAir,CCU,CCU,12,18,4,7,1,Thunderstorm,22,20,7,12,Low,Medium,92.82
IndiGo,DEL,HYD,3,2,0,11,1,Clear,33,1,4,13,Medium,High,79.91
Vistara,GOI,GOI,21,11,4,4,0,Thunderstorm,17,29,8,0,Medium,Medium,75.22
IndiGo,DEL,CCU,13,15,1,6,1,Thunderstorm,23,22,7,1,High,Medium,83.33
SpiceJet,HYD,MAA,15,16,4,1,1,Clear,37,11,9,1,Low,High,27.62
Air India,GOI,CCU,3,6,2,7,0,Clear,20,19,1,6,Low,Low,18.51
SpiceJet,MAA,MAA,23,12,1,12,0,Rain,15,13,5,8,High,Low,36.94
Vistara,BLR,DEL,0,23,0,6,1,Storm,39,18,4,3,Medium,Medium,49.03
IndiGo,MAA,BLR,12,1,1,4,1,Rain,33,23,6,1,High,Medium,59.73
IndiGo,HYD,GOI,3,3,2,7,0,Rain,34,19,1,18,Low,High,19.23
GoAir,DEL,GOI,19,9,0,3,1,Clear,38,14,6,4,High,Low,19.71
IndiGo,GOI,BOM,17,6,3,1,0,Clear,10,26,1,8,Low,Low,23.11
GoAir,MAA,BOM,5,23,2,4,0,Storm,34,19,1,12,High,Low,60.04
Air India,MAA,BLR,2,16,0,3,0,Thunderstorm,11,23,8,11,Medium,High,85.68
Vistara,DEL,BOM,22,19,6,1,1,Rain,39,16,2,18,Medium,High,66.26
GoAir,GOI,GOI,12,5,4,2,0,Storm,22,24,6,8,Low,High,58.54
Air India,BLR,CCU,15,18,1,11,0,Rain,10,13,6,9,High,Medium,42.4
IndiGo,DEL,DEL,4,4,0,5,1,Thunderstorm,33,22,6,18,Low,Low,84.13
IndiGo,MAA,DEL,3,9,1,8,0,Rain,33,27,8,9,Medium,Medium,13.83
Air India,BLR,BLR,20,8,4,1,1,Fog,36,17,4,11,Low,Medium,87.61
IndiGo,BLR,BOM,7,12,0,4,1,Storm,13,26,3,13,Medium,High,113.76
Air India,DEL,CCU,18,18,3,4,1,Clear,33,27,6,7,Low,Low,37.42
GoAir,MAA,DEL,13,20,6,5,0,Rain,32,21,4,15,High,Medium,56.15
GoAir,HYD,DEL,6,23,6,7,0,Storm,38,23,2,16,Medium,Low,66.47
Air India,MAA,HYD,13,5,2,12,1,Storm,11,26,6,19,Low,Medium,88.81
GoAir,BOM,HYD,5,3,0,8,1,Rain,30,4,5,3,Medium,High,58.12
GoAir,GOI,GOI,11,23,4,6,1,Clear,39,21,9,5,High,Medium,51.22
GoAir,CCU,DEL,15,2,0,1,0,Clear,35,11,6,11,Medium,High,26.65
SpiceJet,HYD,BLR,16,2,1,7,1,Rain,29,9,3,17,High,Low,53.87
Vistara,BLR,MAA,12,3,5,3,1,Storm,25,7,5,6,Medium,Medium,80.33
IndiGo,HYD,MAA,22,4,0,6,1,Clear,12,28,8,4,High,Medium,48.83
SpiceJet,GOI,CCU,13,7,6,8,0,Rain,26,5,9,9,Medium,High,37.82
GoAir,BLR,DEL,6,15,6,7,1,Rain,14,27,8,5,High,High,48.27
Air India,GOI,DEL,13,21,6,10,0,Rain,35,24,3,13,Low,Low,23.22
GoAir,BLR,GOI,14,2,3,6,0,Storm,17,14,9,5,Low,High,51.6
Vistara,HYD,DEL,11,23,0,9,1,Clear,21,11,3,13,Medium,Low,46.02
GoAir,BLR,BLR,16,11,2,9,1,Storm,34,24,8,11,High,Medium,107.1
Air India,BLR,HYD,8,7,0,1,1,Fog,32,24,9,11,Low,Low,75.27
Vistara,BOM,DEL,21,12,5,1,0,Clear,21,5,7,7,Medium,Low,11.56
GoAir,MAA,DEL,14,3,6,1,0,Storm,36,11,4,9,Low,Low,81.38
Vistara,MAA,GOI,11,13,1,8,0,Clear,10,14,9,15,High,Medium,36.69
IndiGo,CCU,BOM,1,13,6,12,1,Fog,10,11,3,19,Medium,Medium,54.8
IndiGo,CCU,GOI,4,12,0,12,0,Thunderstorm,24,8,3,7,High,High,55.32
GoAir,BOM,GOI,12,5,3,10,1,Rain,26,18,2,8,High,Low,57.63
Vistara,CCU,BLR,19,16,4,7,1,Storm,11,20,3,12,High,Medium,61.47
Air India,GOI,CCU,22,3,0,3,1,Fog,26,1,1,19,Low,Low,111.27
GoAir,HYD,DEL,7,7,0,2,0,Fog,29,27,4,16,Medium,Low,76.1
IndiGo,DEL,GOI,13,16,2,4,0,Clear,35,12,8,18,High,Low,38.17
IndiGo,GOI,GOI,14,2,3,3,0,Clear,18,12,5,16,Low,Medium,25.97
GoAir,DEL,BOM,10,16,5,7,1,Rain,21,7,2,6,High,Low,68.02
Vistara,DEL,GOI,0,8,4,10,0,Clear,13,26,3,0,Low,Low,11.96
IndiGo,BOM,MAA,20,1,6,8,0,Storm,22,12,1,19,Medium,High,74.62
Vistara,GOI,CCU,2,12,1,6,1,Storm,13,3,2,13,Medium,Low,64.19
IndiGo,BOM,DEL,16,19,0,3,1,Storm,16,5,1,16,Medium,High,107.35
IndiGo,BLR,DEL,18,1,5,6,0,Thunderstorm,23,5,2,12,Medium,Low,70.62
SpiceJet,DEL,BOM,13,19,4,2,1,Storm,36,20,3,1,High,High,104.72
IndiGo,HYD,BLR,21,10,1,12,0,Clear,18,11,1,13,Low,Medium,22.68
Air India,CCU,DEL,22,21,5,7,1,Clear,32,11,9,0,Medium,Medium,28.16
GoAir,HYD,MAA,7,14,3,11,1,Storm,10,16,5,4,High,Low,110.09
GoAir,CCU,DEL,12,10,3,10,0,Fog,10,26,8,6,Medium,High,61.48
Vistara,DEL,MAA,19,22,4,7,1,Fog,29,6,5,18,Medium,Medium,83.38
IndiGo,DEL,CCU,2,2,6,4,1,Fog,13,25,8,13,Medium,Low,92.26
Air India,DEL,CCU,4,2,1,8,1,Rain,10,14,7,13,Low,Low,56.81
Vistara,BOM,HYD,8,11,3,4,0,Thunderstorm,31,23,4,14,Low,High,68.65
SpiceJet,GOI,HYD,5,23,4,7,1,Storm,19,16,7,4,Low,High,95.55
Vistara,CCU,MAA,21,4,3,4,1,Rain,11,9,6,4,Medium,Low,24.78
Vistara,GOI,BLR,1,19,3,12,0,Fog,36,22,3,1,High,High,69.84
IndiGo,BOM,DEL,12,6,5,5,0,Storm,30,19,9,17,High,High,92.84
SpiceJet,BOM,GOI,4,6,5,7,1,Rain,33,5,9,8,High,Medium,51.44
Vistara,MAA,DEL,7,12,3,10,1,Clear,24,8,5,9,Medium,High,87.82
Air India,HYD,HYD,22,8,2,3,1,Fog,12,14,8,17,Low,Low,61.9
Air India,HYD,GOI,0,20,5,10,0,Rain,34,15,7,3,High,High,32.35
GoAir,BLR,MAA,19,12,1,5,1,Clear,32,20,9,7,Medium,Low,53.0
SpiceJet,BOM,GOI,11,11,4,11,0,Fog,18,7,7,17,Medium,Low,56.16
SpiceJet,CCU,DEL,22,12,4,3,0,Thunderstorm,26,15,4,19,High,High,100.88
GoAir,MAA,DEL,10,23,6,5,1,Fog,30,4,4,16,High,High,95.6
Vistara,MAA,BLR,6,9,1,3,1,Thunderstorm,37,17,8,15,Medium,High,117.21
SpiceJet,GOI,BOM,14,0,1,11,0,Thunderstorm,22,19,6,17,High,Medium,74.0
Air India,HYD,GOI,21,7,1,10,1,Thunderstorm,12,13,9,6,Medium,Medium,92.11
Air India,BOM,HYD,23,21,6,11,1,Storm,13,1,7,0,High,High,94.83
IndiGo,BLR,HYD,10,15,1,7,0,Storm,13,22,7,0,Low,Low,70.1
SpiceJet,BOM,BOM,21,12,0,1,1,Thunderstorm,20,22,4,17,Medium,High,61.77
Vistara,GOI,DEL,15,2,6,9,0,Clear,37,29,3,3,Low,Medium,15.53
GoAir,DEL,BLR,2,2,4,9,1,Thunderstorm,16,2,8,19,High,Medium,109.74
GoAir,BOM,BLR,19,23,0,5,0,Rain,35,13,7,19,Medium,High,37.68
Vistara,GOI,HYD,13,4,6,9,0,Thunderstorm,20,28,4,3,High,Low,58.44
IndiGo,DEL,BLR,2,10,3,10,1,Storm,33,6,4,5,Medium,Low,61.16
GoAir,DEL,CCU,0,6,3,6,0,Storm,20,14,1,2,High,Medium,62.67
SpiceJet,BLR,BOM,20,20,4,5,0,Rain,19,16,7,5,Low,Medium,25.54
IndiGo,CCU,DEL,14,23,3,3,1,Rain,14,0,1,12,Low,Medium,31.48
SpiceJet,HYD,CCU,0,9,1,11,1,Fog,22,8,4,6,High,Low,89.99
Air India,BOM,BOM,16,9,6,11,1,Clear,38,21,3,3,Low,Medium,45.93
IndiGo,DEL,MAA,1,19,0,8,0,Clear,21,28,3,0,Low,Medium,19.95
GoAir,BOM,GOI,19,1,1,4,0,Clear,19,13,1,5,High,Low,42.52
IndiGo,CCU,HYD,5,2,3,10,0,Storm,16,15,4,4,Medium,Medium,60.91
IndiGo,HYD,BLR,7,7,5,3,1,Clear,28,27,1,12,High,Medium,55.2
IndiGo,CCU,MAA,15,10,0,6,0,Fog,28,20,8,18,Medium,High,71.93
IndiGo,HYD,BLR,18,12,1,8,0,Fog,28,12,1,3,Low,Medium,77.44
SpiceJet,MAA,CCU,0,6,6,9,1,Clear,21,5,6,5,Low,High,69.8
Air India,HYD,DEL,2,12,4,6,0,Rain,29,21,7,12,Low,Medium,26.69
Vistara,BLR,DEL,2,1,1,5,1,Fog,31,0,2,4,Low,Medium,77.58
IndiGo,CCU,DEL,4,5,5,12,1,Rain,24,20,4,12,Low,High,59.65
GoAir,DEL,BLR,11,8,3,11,1,Storm,14,24,3,9,Medium,Medium,63.21
IndiGo,MAA,MAA,11,19,0,2,0,Fog,33,3,9,2,Medium,High,74.38
GoAir,BLR,DEL,19,1,4,2,0,Rain,39,2,7,12,Medium,Medium,31.55
SpiceJet,BOM,MAA,12,17,0,9,0,Clear,23,16,2,11,High,High,33.14
GoAir,CCU,BLR,19,15,4,2,1,Storm,21,29,6,3,Low,High,113.23
Vistara,GOI,CCU,8,11,6,2,1,Thunderstorm,38,1,9,9,Low,Medium,98.97
Air India,GOI,MAA,6,6,0,3,1,Thunderstorm,30,18,3,2,Low,Medium,64.33
GoAir,DEL,CCU,3,6,3,3,0,Clear,20,19,6,16,High,High,34.61
GoAir,HYD,BLR,18,16,6,4,0,Storm,37,22,3,8,High,Low,81.55
Air India,DEL,BLR,21,12,6,7,0,Storm,14,21,3,0,High,Medium,52.21
Vistara,GOI,HYD,18,10,4,9,0,Storm,25,26,4,17,Low,Medium,70.99
IndiGo,BOM,BLR,5,5,2,2,0,Storm,39,7,9,8,Medium,Low,68.81
GoAir,MAA,BLR,12,22,0,4,1,Thunderstorm,35,29,8,19,High,Low,91.66
Air India,MAA,BOM,10,13,0,9,0,Rain,27,24,1,8,High,High,27.5
SpiceJet,CCU,DEL,12,5,1,2,1,Storm,21,14,1,1,Medium,Medium,59.53
Air India,MAA,HYD,12,5,4,10,1,Rain,36,5,7,18,High,High,75.8
SpiceJet,CCU,GOI,21,1,5,11,0,Storm,36,22,3,15,Medium,Medium,91.09
Vistara,CCU,HYD,19,21,2,1,1,Fog,14,19,7,2,Low,Low,80.6
IndiGo,CCU,HYD,14,19,3,10,0,Fog,25,1,9,15,Medium,High,89.39
Air India,GOI,GOI,20,14,1,8,0,Fog,21,24,3,12,Medium,Medium,67.28
GoAir,GOI,BOM,12,16,2,9,1,Storm,32,24,3,2,Low,Medium,84.47
Vistara,HYD,CCU,21,7,4,7,0,Rain,11,14,2,9,High,Low,40.27
Air India,BLR,BLR,10,4,2,8,0,Thunderstorm,39,19,1,17,Low,Low,51.12
GoAir,CCU,DEL,18,16,6,4,1,Clear,38,11,9,5,High,Medium,43.24
Air India,CCU,MAA,7,19,0,4,1,Thunderstorm,15,2,6,5,High,Low,93.49
SpiceJet,BLR,GOI,19,0,6,2,1,Storm,32,9,6,17,Medium,Low,117.2
Air India,DEL,CCU,7,21,0,8,1,Fog,30,13,8,5,Low,High,58.15
Air India,CCU,GOI,9,17,1,11,1,Fog,34,26,5,5,Medium,Medium,79.84
Air India,HYD,BLR,15,14,4,2,1,Rain,39,21,9,12,Low,High,48.83
Vistara,MAA,BOM,18,4,4,9,0,Storm,13,29,5,13,Low,Low,79.31
Air India,MAA,GOI,22,6,2,4,0,Thunderstorm,39,13,2,6,Medium,Medium,57.06
GoAir,BOM,BLR,10,17,1,1,0,Storm,39,2,6,12,High,Low,63.47
SpiceJet,BOM,BLR,12,5,4,4,1,Storm,22,0,9,14,High,Low,94.69
SpiceJet,MAA,BOM,8,21,5,3,0,Fog,19,19,3,11,Low,Medium,59.17
Air India,MAA,HYD,19,20,5,12,1,Thunderstorm,26,0,4,0,High,Low,101.16
Vistara,GOI,HYD,23,4,6,6,0,Clear,23,1,8,2,Medium,High,31.19
Vistara,HYD,DEL,18,18,0,7,1,Fog,33,18,6,17,Medium,Medium,68.23
GoAir,BLR,DEL,15,9,2,8,0,Thunderstorm,24,23,7,7,Medium,Low,68.81
Air India,BOM,HYD,6,14,3,2,1,Rain,17,9,7,1,Low,Low,18.84
SpiceJet,GOI,CCU,18,9,0,6,1,Fog,32,3,4,3,Low,Low,73.14
Vistara,GOI,MAA,11,15,1,6,1,Rain,33,3,6,17,High,Medium,64.01
Air India,BLR,BLR,14,11,4,10,1,Fog,27,12,9,12,Medium,High,89.86
Vistara,GOI,MAA,22,17,0,12,0,Storm,12,25,3,14,Medium,Low,55.09
Vistara,HYD,BLR,13,22,3,5,0,Thunderstorm,34,8,8,1,Low,Low,39.35
SpiceJet,MAA,HYD,10,0,3,10,1,Rain,26,6,7,9,Low,Low,33.56
IndiGo,CCU,DEL,9,15,5,10,1,Fog,33,15,4,1,Low,Medium,75.84
GoAir,BLR,CCU,10,21,1,7,1,Rain,33,17,3,11,Medium,Low,51.65
GoAir,MAA,DEL,5,5,0,3,0,Fog,16,2,7,4,Medium,Low,82.16
SpiceJet,MAA,MAA,1,2,2,4,1,Fog,22,19,9,11,High,Low,90.97
Vistara,DEL,DEL,10,1,0,10,1,Clear,39,19,3,0,Medium,Medium,56.24
Air India,BLR,HYD,18,1,5,9,0,Clear,36,9,9,1,High,High,31.88
Vistara,GOI,CCU,5,12,6,4,1,Clear,25,23,8,15,High,Medium,58.16
SpiceJet,CCU,MAA,13,8,3,3,1,Rain,14,25,3,1,Medium,High,54.64
GoAir,BLR,CCU,19,15,1,2,0,Storm,13,29,8,15,High,High,71.18
Vistara,GOI,BLR,5,4,1,5,1,Fog,35,25,4,19,High,Medium,72.05
GoAir,MAA,DEL,16,22,2,4,1,Thunderstorm,19,21,6,15,Low,Low,93.73
Air India,CCU,CCU,9,20,1,8,0,Clear,22,15,2,5,Medium,High,19.8
GoAir,GOI,BOM,0,6,5,7,1,Rain,19,2,8,12,High,Low,67.81
GoAir,HYD,DEL,2,12,5,6,0,Rain,23,10,9,11,High,High,20.97
IndiGo,GOI,BLR,7,19,5,11,1,Rain,35,24,7,9,High,Low,68.38
IndiGo,DEL,CCU,7,23,1,12,1,Thunderstorm,31,9,8,4,Medium,Low,77.65
IndiGo,MAA,MAA,19,12,1,2,1,Thunderstorm,21,15,7,7,Low,Medium,103.67
GoAir,GOI,BLR,21,6,5,3,1,Clear,36,7,4,5,Low,Low,33.96
SpiceJet,BOM,BOM,14,9,1,10,1,Thunderstorm,10,8,1,4,Medium,High,67.3
GoAir,BOM,CCU,23,14,1,9,0,Clear,38,14,3,19,Medium,Low,21.23
SpiceJet,DEL,GOI,6,20,3,9,1,Thunderstorm,30,20,7,5,Medium,Low,59.39
SpiceJet,HYD,GOI,10,5,0,5,1,Thunderstorm,39,2,7,16,Medium,Low,94.67
IndiGo,MAA,HYD,6,4,4,3,0,Thunderstorm,29,3,3,5,Low,High,66.79
Vistara,BLR,DEL,3,22,1,2,0,Clear,29,29,1,16,High,High,33.17
Air India,DEL,MAA,11,1,4,8,1,Fog,16,12,9,4,High,High,86.23
IndiGo,HYD,HYD,5,20,6,6,0,Clear,18,11,6,16,Medium,Low,23.4
IndiGo,BLR,CCU,13,14,4,10,1,Fog,17,20,7,16,Medium,Medium,84.77
Vistara,BOM,GOI,11,15,3,11,0,Rain,36,8,1,12,High,High,33.22
Air India,BOM,GOI,10,18,1,12,0,Rain,22,24,1,6,Low,Low,47.68
GoAir,BLR,GOI,18,8,5,7,1,Clear,23,13,4,5,Medium,High,29.11
GoAir,DEL,CCU,20,21,4,1,0,Fog,21,18,7,13,Medium,Medium,80.56
IndiGo,BOM,GOI,4,18,1,1,1,Fog,17,6,8,15,Low,Low,97.45
Air India,MAA,BLR,13,6,2,10,0,Fog,30,15,9,2,Low,High,62.37
IndiGo,CCU,CCU,20,3,6,2,0,Rain,31,21,1,8,Low,High,48.41
SpiceJet,GOI,MAA,23,2,5,10,0,Clear,27,19,4,14,Medium,Medium,37.76
IndiGo,BLR,HYD,15,23,2,3,1,Storm,25,4,4,17,Low,High,126.74
IndiGo,BLR,MAA,12,19,2,12,1,Fog,38,29,3,9,Medium,Low,83.43
GoAir,BOM,BOM,21,10,4,1,0,Fog,20,9,7,9,Medium,Low,54.17
GoAir,DEL,GOI,21,0,2,5,1,Storm,25,17,1,2,Low,Medium,81.45
GoAir,MAA,BOM,19,5,3,3,1,Clear,23,10,9,0,High,Medium,55.78
SpiceJet,DEL,DEL,21,10,3,1,1,Fog,12,6,8,2,Low,Medium,89.7
GoAir,HYD,DEL,3,0,4,8,0,Clear,30,13,2,4,High,Low,10.76
Air India,HYD,BOM,10,20,1,12,1,Fog,11,19,2,6,Low,Medium,78.65
Vistara,CCU,CCU,16,6,0,11,0,Thunderstorm,12,17,8,2,Low,High,100.51
Air India,BOM,MAA,6,5,1,6,0,Fog,13,10,1,3,Medium,High,81.58
Air India,BOM,BOM,13,13,1,9,0,Thunderstorm,31,21,7,16,Medium,Low,47.99
GoAir,BOM,DEL,10,1,1,3,0,Clear,14,26,9,2,Medium,High,16.26
Vistara,CCU,BOM,21,3,1,9,0,Fog,19,11,3,3,Medium,Medium,51.32
Vistara,HYD,CCU,8,10,5,9,1,Rain,29,17,7,1,Medium,High,38.86
Vistara,DEL,BOM,22,14,0,12,1,Rain,38,25,6,13,Medium,Medium,50.32
SpiceJet,CCU,MAA,12,17,5,12,0,Storm,11,1,7,4,Medium,High,89.03
GoAir,CCU,HYD,22,0,2,1,1,Rain,21,22,7,1,High,Low,48.5
Vistara,DEL,CCU,17,2,6,3,1,Thunderstorm,36,0,1,14,High,Medium,93.4
SpiceJet,BOM,DEL,10,2,1,6,1,Rain,14,22,3,10,Medium,High,49.43
IndiGo,MAA,MAA,14,6,6,8,1,Rain,14,9,1,9,High,Low,46.54
IndiGo,DEL,BOM,21,0,3,4,1,Rain,36,20,5,19,Low,High,60.26
SpiceJet,HYD,BOM,18,10,4,5,1,Fog,32,0,3,0,High,Low,69.52
SpiceJet,BLR,HYD,0,5,4,9,1,Storm,10,5,1,18,Medium,High,95.92
GoAir,BLR,DEL,3,19,5,6,0,Clear,13,6,2,13,High,Medium,43.2
GoAir,GOI,DEL,13,2,5,12,0,Storm,36,16,5,13,Low,Medium,66.09
IndiGo,GOI,BLR,13,18,3,7,0,Thunderstorm,30,8,3,0,High,Medium,64.37
Vistara,CCU,DEL,2,1,1,7,1,Fog,33,6,6,8,Medium,Medium,57.58
IndiGo,BLR,HYD,16,17,6,4,1,Fog,21,16,9,16,Low,Medium,77.81
Vistara,MAA,GOI,2,11,6,4,0,Rain,21,2,6,13,Low,High,40.84
Vistara,BOM,BLR,15,9,0,4,1,Rain,25,15,2,12,High,High,26.45
GoAir,HYD,BLR,13,4,2,11,1,Thunderstorm,33,4,2,12,Low,High,104.96
Air India,GOI,BOM,19,8,4,5,0,Fog,26,19,8,5,Low,High,62.46
Air India,MAA,BOM,12,1,2,5,0,Clear,30,17,8,6,Low,Medium,33.82
SpiceJet,HYD,DEL,14,1,0,8,0,Storm,19,0,6,1,Medium,Low,50.26
GoAir,HYD,BLR,13,5,5,9,1,Fog,26,3,7,7,Low,Medium,108.19
Vistara,BOM,BOM,23,9,6,2,1,Clear,26,22,1,5,High,High,64.23
Air India,CCU,HYD,18,17,4,11,1,Clear,27,10,9,2,High,Medium,48.14
Vistara,BLR,BOM,5,11,2,7,0,Storm,11,19,5,17,Low,Medium,76.06
Air India,BOM,CCU,9,3,5,1,0,Clear,34,8,9,17,High,Medium,64.37
Air India,MAA,CCU,14,21,0,1,1,Thunderstorm,13,29,2,5,Low,Low,71.44
Air India,CCU,BOM,20,20,2,4,0,Clear,28,7,8,10,High,Medium,22.44
GoAir,MAA,BLR,21,16,6,10,0,Thunderstorm,20,7,7,2,Low,Medium,46.18
IndiGo,CCU,GOI,19,14,1,7,1,Clear,26,4,4,15,Low,Low,59.85
Vistara,GOI,GOI,5,5,5,2,0,Rain,21,11,3,4,Low,Medium,15.18
GoAir,MAA,BLR,22,15,0,11,0,Clear,11,0,4,1,Medium,Medium,19.85
GoAir,BOM,MAA,9,16,2,2,0,Thunderstorm,15,14,4,14,High,Medium,60.08
GoAir,CCU,GOI,6,2,6,1,1,Clear,18,24,8,15,Low,Medium,53.53
